カード名,型番,画像ファイル名,フレーバー
偉形のX エクストリーム・キリコ,DM26RP1 ㊙4/㊙24,001_006_01_偉形のX エクストリーム・キリコ.jpg,その歌声は、知らぬうちに異形のものとなっていた。
森仙のJ ロマネスク,DM26RP1 ㊙11/㊙24,001_013_01_森仙のJ ロマネスク.jpg,森仙では、大地の力も紋章の力も不要なり。
剛撃聖霊シェバ・エリクシア,DM26RP1 TR4/TR9,001_017_01_剛撃聖霊シェバ・エリクシア.jpg,天と地。二つの力が合わされば、聖にして剛なり。
偉形のX エクストリーム・キリコ,DM26RP1 S3/S11,001_026_01_偉形のX エクストリーム・キリコ.jpg,キリキリキリ、すべてを破壊するザンス！ ー エクストリーム・キリコ
冥幽のU ブライゼジェネレイド,DM26RP1 S5/S11,001_028_01_冥幽のU ブライゼジェネレイド.jpg,理想郷は、冥く幽かな場所にある。
爆焔ジェット・メモッタ,DM26RP1 ㊙13/㊙24,001_041_01_爆焔ジェット・メモッタ.jpg,異世界を知り、異世界を旅し、異世界の姿となる。だが、その目的は覚えていない。
宝魂剣と獄門盾の決断,DM26RP1 ㊙15/㊙24,001_043_01_宝魂剣と獄門盾の決断.jpg,ボルメテウスの怒りは魂の炎となって永遠に追撃をやめない。
幻影 ミスキュー,DM26RP1 TR5/TR9,001_044_01_幻影 ミスキュー.jpg,幻影の侵略者はどんな姿にも変化できる。まるで霊を降ろすシャーマンのように。
爆藍月 スケルハンター,DM26RP1 TD4/TD5,001_049_01_爆藍月 スケルハンター.jpg,待たせてごめんね！ ー 黄昏ミミ
神羅の銀月 ザ・ラムーン,DM26RP1 1/77,001_050_01_神羅の銀月 ザ・ラムーン.jpg,それは進化の力が秘められた月。
神帝の黒月 ジ・オリジナル,DM26RP1 2/77,002_001_01_神帝の黒月 ジ・オリジナル.jpg,それは神化の力が秘められた月。
傀儡秘宝ベンゾルス,DM26RP1 3/77,002_002_01_傀儡秘宝ベンゾルス.jpg,ヘヴィ・ウィン・メタルとボルメテウスの闘いを見て、闘う意志を支配することなどできないと悟った「Z」の魂は宇宙の一部へと還っていった。そして、後には抜け殻のように立ち尽くす「Z」の体があった。
爆焔ジェット・メモッタ,DM26RP1 4/77,002_003_01_爆焔ジェット・メモッタ.jpg,別世界から流れ着いたメモッタは、我竜塔の第一層で奮戦するヘヴィ・メタルと遭遇したのだった。
宝魂剣と獄門盾の決断,DM26RP1 11/77,002_010_01_宝魂剣と獄門盾の決断.jpg,理断の剣。憎怒の門。封敵の盾。今、そのすべてが一つとなる。
インフェルノ・ドラグーン,DM26RP1 ㊙18/㊙24,002_013_01_インフェルノ・ドラグーン.jpg,汝、神を欲すなら、再び我自身を神へと捧げよ。 ー インフェルノ・ドラグーン
「策略のエメラル」,DM26RP1 T2/T10,002_015_01_「策略のエメラル」.jpg,天門からの天海の来襲。それすなわち「天使からの暴力」なり！
邪龍秘伝ドラゴン・ボーン,DM26RP1 T4/T10,002_017_01_邪龍秘伝ドラゴン・ボーン.jpg,死が動き出し、世界を滅ぼさんとす。これぞ暗黒。絶対の監獄。 — ダーク・スクエアで発見された予言
霊騎ガルテオ,DM26RP1 12/77,002_020_01_霊騎ガルテオ.jpg,第四層で待っていたのは「T」のミリオンベジータ。一見、楽園に見えるポチョムキンにて闘いの無意味さを語るが、その言葉に耳を貸した瞬間に奈落への入り口が開かれたのだった。
電磁麗姫ガルリー,DM26RP1 15/77,002_023_01_電磁麗姫ガルリー.jpg,ヘヴィ・ウィン・メタルが体勢を崩したその隙を狙っての同時攻撃。しかし死力を尽くしてヘヴィ・ウィン・メタルはその攻撃を弾き飛ばす。弾かれた「R」と「S」の二人は、壁を突き破って塔から落ちていったのだった。
インフェルノ・ドラグーン,DM26RP1 17/77,002_025_01_インフェルノ・ドラグーン.jpg,たどり着いた我竜塔最高層。「Y」のチャクラ・デル・フィンは「Z」への絶対的な忠誠をヘヴィ・ウィン・メタルに強いる。そして拒否したヘヴィ・ウィン・メタルの体が盾のようなもので束縛される。
メタルカオスクラッパー・ドラゴン,DM26RP1 18/77,002_026_01_メタルカオスクラッパー・ドラゴン.jpg,ティーツーにたどり着いたヘヴィ・ウィン・メタルが目にしたのはボルメテウス。怒りと闘いの化身と呼ばれる竜のその姿を前に、これから起こる闘いへと胸を躍らすのだった。
ジェネラル・ガルガタン,DM26RP1 22/77,002_030_01_ジェネラル・ガルガタン.jpg,第三層には主である「S」のアドミラル・アレグルと……第二層にいるはずの「R」のダグラジャパニカンの両方がいたのだった。「R」と「S」を同時に相手するにはさすがのヘヴィ・ウィン・メタルも苦戦を強いられる。
創造の天空城 ホワイト・ネオウェーブ,DM26RP1 23/77,002_031_01_創造の天空城 ホワイト・ネオウェーブ.jpg,創造の力は天空に城を作った。
魂が休む庭園 グリーン・グランドクロス,DM26RP1 24/77,002_032_01_魂が休む庭園 グリーン・グランドクロス.jpg,魂に安らぎを。そして、魂の交流を。
深き知識の神殿 ブルー・ツナミ,DM26RP1 25/77,002_033_01_深き知識の神殿 ブルー・ツナミ.jpg,そこに秘められし知識は、まだ誰も知ったことのないもの。
燃え尽きぬ館 レッド・プロミネンス,DM26RP1 27/77,002_035_01_燃え尽きぬ館 レッド・プロミネンス.jpg,その火が消える時、太陽も燃え尽きるだろう。
スイトン・クロウラー,DM26RP1 ㊙19/㊙24,002_039_01_スイトン・クロウラー.jpg,欲のおもむくままに大地を喰らっている。……と思わせるところまでが裏斬隠の戦略だった。
我竜塔第七層 ハッスル・キャッスル,DM26RP1 ㊙21/㊙24,002_041_01_我竜塔第七層 ハッスル・キャッスル.jpg,逆転できたらハッスルハッスル！
サイバー・ブレイン,DM26RP1 T5/T10,002_043_01_サイバー・ブレイン.jpg,電脳と悪魔の危険なストラテジー。それすなわち「悪魔の居城」なり！
クック・驚・ブルッチ,DM26RP1 T6/T10,002_044_01_クック・驚・ブルッチ.jpg,終わりなき竜たちの演武。それすなわち「竜たちの天国」なり！
超電磁工兵ガル・キーン,DM26RP1 28/77,002_045_01_超電磁工兵ガル・キーン.jpg,ポチョムキンの城内。その地下にいたのはかつて我竜塔に挑み、敗北した者たちだった。ヘヴィ・ウィン・メタルと出会ったことで、闘う意志を取り戻した彼ら。その力を借りて、奈落から脱出しミリオンベジータを倒したのだった。
雷遁の開眼者ウッズ,DM26RP1 29/77,002_046_01_雷遁の開眼者ウッズ.jpg,エクスドリーマー、それは偽りの夢を見るもの。
我竜塔第六層 シルヴァー・グローリー,DM26RP1 31/77,002_048_01_我竜塔第六層 シルヴァー・グローリー.jpg,我竜塔の第六層。そこはすべてが明らかになる「V」の領域。光り輝く部屋の中ではすべての隠し事が明らかにされてしまう……ただひとつを除いて。
